Código OACI;Nome;Município;UF;Longitude;Latitude;Altitude;Operação Diurna;Comprimento 1;Largura 1
SIUF;Fazenda São Francisco;PEIXOTO DE AZEVEDO;MT;"053°42'06""W";"10°09'24""S";355;;1050;23
SIJQ;A2 Aviação Agrícola Ltda;ALTA FLORESTA;MT;"055°59'43""W";"10°04'07""S";287;VFR;1000;20
SIED;Fazenda Espadim;PARANHOS;MS;"055°20'09""W";"23°47'39""S";378;VFR;799;18
SWMT;Chácara São Matheus;JAPURÁ;PR;"052°34'21""W";"23°29'06""S";441;VFR;700;18
SJIF;Grupo Scheffer;SAPEZAL;MT;"058°51'37""W";"13°33'02""S";546;VFR;1000;18
SNNV;Vila Nova;JOINVILLE;SC;"048°56'05""W";"26°18'23""S";21;VFR;500;18
SJNL;Fazenda Reata;CAMPO NOVO DO PARECIS;MT;"057°34'51""W";"13°37'13""S";546;VFR;1200;20
SJHE;Fazenda Palmeira;IPIRANGA DO NORTE;MT;"055°59'34""W";"12°05'17""S";364;VFR;800;25
SJKV;Cumanã 1;PACARAIMA;RR;"060°46'41""W";"04°28'13""N";363;VFR;800;25
SDZX;Fazenda Suri;CAMPINÁPOLIS;MT;"053°07'27""W";"14°48'48""S";381;VFR;1000;18
SSDW;Fazenda Potrich;SORRISO;MT;"055°32'08""W";"12°54'56""S";407;VFR;1100;18
SJMR;Maragogipe;IGUATEMI;MS;"054°18'02""W";"23°27'24""S";304;VFR;1000;18
SDIO;Aeroclube de Itápolis;ITÁPOLIS;SP;"048°49'58""W";"21°35'59""S";557;;1320;25
SJBT;Fazenda Vera Lúcia;AQUIDAUANA;MS;"056°05'58""W";"19°34'28""S";127;VFR;600;30
SDWV;Chácara Maringá;SENADOR JOSÉ PORFÍRIO;PA;"051°57'13""W";"02°34'22""S";30;VFR;985;18
SIXL;Fazenda Barra do Triunfo;SÃO FÉLIX DO XINGU;PA;"052°22'50""W";"06°24'58""S";191;VFR;1480;23
SDEM;Estância Machado;ÁLVARES MACHADO;SP;"051°27'16""W";"22°06'19""S";427;VFR;700;18
SSQU;Fazenda Alegrete - Retiro Carandá;AQUIDAUANA;MS;"055°42'06""W";"20°03'53""S";146;VFR;600;18
SSZH;Agroterra Infiniti Ltda;TACURU;MS;"054°42'51""W";"23°38'44""S";342;VFR;1100;23
SWRA;Fazenda Bela Vista;NOVA MONTE VERDE;MT;"056°59'30""W";"10°03'18""S";264;VFR;1000;18
SWDY;Fazenda Água Fria;CRIXÁS;GO;"050°22'39""W";"14°45'16""S";358;VFR;795;18
SWSZ;Fazenda Santa Luzia;NOVA BANDEIRANTES;MT;"058°03'46""W";"09°46'25""S";226;;1100;18
SWSF;Fazenda São Francisco;VILA BELA DA SANTÍSSIMA TRINDADE;MT;"060°13'00""W";"15°13'26""S";263;;900;18
SJVF;Fazenda Várzea Funda;CÁCERES;MT;"057°43'39""W";"16°35'23""S";201;VFR;900;25
SIJG;Fazenda Jaguaretê;GUARARAPES;SP;"050°43'33""W";"21°26'33""S";393;VFR;900;23
SIRF;José Múcio Monteiro;RIO FORMOSO;PE;"035°16'19""W";"08°37'51""S";109;VFR;719;18
SNOZ;Coronel Alexandre Raposo;PAÇO DO LUMIAR;MA;"044°07'27""W";"02°31'25""S";47;VFR;1000;30
